283
-375.75029
294.50365
5314.59488
5420.14110
126
141303
1;loperhet;3602;177;-317,552675853774;5379,97749432168;
2;confort-meilars;903;61;-329,537348604619;5342,91622527105;
3;daoulas;1782;328;-313,962549943432;5378,13165853938;
4;lanrivoare;1425;95;-267,879524520898;5389,25115120383;
5;plounevezel;1164;47;-266,292865755092;5370,71495693219;
6;plougasnou;3212;94;-278,877580805971;5415,19292759001;
7;plounevez-lochrist;2404;60;-309,968297804349;5405,93039020052;
8;kerlouan;2284;128;-320,783039424948;5409,63318125778;
9;guiler-sur-goyen;498;44;-324,792216884498;5339,21343421378;
10;lothey;423;31;294,503647503331;5357,62731406612;
11;peumerit;781;39;-320,350323680614;5329,93977733163;
12;plouescat;3609;244;-305,989310515924;5411,49013653275;
13;guipronvel;762;90;-336,583024644053;5391,09698698613;
14;dineault;1757;38;-308,712184981229;5361,4524195427;
15;feuillee;654;20;-284,227122076073;5381,83444959664;
16;primelin;748;86;-343,387176938984;5339,21343421378;
17;trehou;583;25;-305,144023504077;5381,83444959664;
18;relecq-kerhuon;10762;1673;-324,830996658369;5381,83444959664;
19;guiclan;2252;52;-291,975805350324;5398,51368859333;
20;treogat;539;54;-321,695463817702;5328,09394154933;
21;tremeven-29;2239;145;183,952970443254;5326,05907439173;
22;saint-yvi;2795;103;-292,844059073985;5333,65368788156;
23;plovan;674;42;-325,42166322393;5328,09394154933;
24;kerlaz;810;70;-316,944085422598;5346,61901632831;
25;guilers;7415;390;-336,914696219061;5385,53724065391;
26;hanvec;1959;33;-308,00847905669;5374,41774798945;
27;drennec;1803;189;-321,524782090611;5396,65673331836;
28;saint-vougay;923;61;-303,942455547457;5404,07343492555;
29;locmaria-berrien;229;13;-273,42171806273;5376,27470326441;
30;locquenole;808;950;-284,239724254243;5405,93039020052;
31;lannilis;5293;225;-332,350076809086;5400,37064386829;
32;leuhan;791;24;-280,9485422636;5348,47597160328;
33;saint-hernin;748;25;-269,196562976633;5361,4524195427;
34;sainte-seve;871;87;-284,521134263824;5400,37064386829;
35;milizac;3009;90;-336,693168042497;5389,25115120383;
36;beuzec-cap-sizun;1064;30;-335,515013419291;5346,61901632831;
37;plouedern;2793;142;-313,24309721027;5391,09698698613;
38;motreff;741;34;-263,108353431396;5359,59546426773;
39;kergloff;939;37;-268,933564493665;5367,01216587492;
