Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
42.418 19961.6183400050 16819.9454082415 14796.4771549358 10684.4733800009 1034.1978240821 5647.5668231731 32631.7723545393 94352.4331768269
43.428 17031.1177187844 15648.1689108133 14736.4823985956 11083.8110492047 993.9709335258 6279.9687334975 35918.8280823080 93720.0312665025
44.438 14539.8223451831 14350.4137021902 14486.4644625470 11258.8163050100 1036.6362217477 6912.6555336889 39216.7289873249 93087.3444663112
45.448 12445.0625725500 12992.6661648743 14069.4663603061 11349.0228787360 1023.7800749515 7536.1036901493 42486.4453244742 92463.8963098509
46.458 10698.2054837200 11631.3479446164 13513.5352053630 11314.5586524162 1001.7686219257 8143.1696721512 45692.1601084732 91856.8303278489
47.467 9249.8176289774 10310.9186241776 12848.8753931595 11134.3422981842 1003.4338755813 8727.3126162110 48803.2015340502 91272.6873837891
48.477 8053.1328556946 9063.5106684242 12105.4590595182 10861.2436037402 991.0807456320 9283.3172372027 51794.3724506120 90716.6827627975
49.487 7066.0400890974 7909.9481640262 11311.2477668279 10459.7649043046 1017.4142127789 9807.0772032893 54646.2533625723 90192.9227967108
50.497 6251.9180418307 6861.5498808160 10491.0410641480 10029.5944333931 1000.6438590911 10295.6338276620 57344.9437093509 89704.3661723382
51.507 5579.7081456504 5922.1968836928 9665.8766115558 9538.1923532839 990.4761533372 10747.7490133804 59881.3022263637 89252.2509866198
52.517 5023.5419642900 5090.3271344559 8852.8630150298 8989.2799133842 999.5308329194 11162.5959104628 62250.8399411948 88837.4040895374
53.527 4562.1446939759 4360.6797912726 8065.3189931136 8421.8006006140 1003.4564845818 11540.3205296683 64452.7516419204 88459.6794703319
54.537 4178.1669755169 3725.7112907222 7313.1073928447 7849.3685030891 1001.3197754520 11881.7012346257 66489.3056685432 88118.2987653744
55.547 3857.5338745614 3176.6791679661 6603.0735029554 7272.8394316851 1002.8763511994 12188.1345537336 68365.1241021532 87811.8654462665
56.557 3588.8575015754 2704.4272291791 5939.5213242171 6714.2606258103 994.7527499162 12461.3578154518 70086.6419116106 87538.6421845483
57.567 3362.9311508559 2299.9233596694 5324.6826585275 6156.4852676234 1000.9461364763 12703.3430238258 71661.5915908147 87296.6569761743
58.577 3172.3054408056 1954.6049170472 4759.1514532868 5626.1328311934 1000.0926016931 12916.1272486214 73098.5866027130 87083.8727513787
59.587 3010.9410760260 1660.5795190167 4242.2686257460 5116.1842590952 1002.9549183632 13101.9428868570 74406.6712763056 86898.0571131431
60.597 2873.9279841017 1410.7225494258 3772.4515884452 4642.8586053160 995.8917380401 13262.9303937718 75595.1194993229 86737.0696062282
61.607 2757.2602307900 1198.7038269459 3347.4685333651 4186.4564001366 1000.1095772020 13401.2837214654 76673.1226088085 86598.7162785346
62.617 2657.6567427783 1018.9680135777 2964.6611154276 3775.2956562684 987.8953345277 13519.2517660226 77649.6006638164 86480.7482339774
63.627 2572.4182988861 866.6875010733 2621.1210801906 3407.7594733303 960.3693812831 13619.8178909145 78532.7408752460 86380.1821090855
64.637 2499.3146421540 737.6992837860 2313.8270734322 3078.5832445968 922.0076370723 13705.5808396474 79330.3515981325 86294.4191603526
65.647 2436.4953714039 628.4350365182 2039.7477637958 2783.2610017611 876.3325460555 13778.7436070135 80049.8366946681 86221.2563929865
66.656 2382.4188647598 535.8509372799 1795.9172959829 2517.9047988414 826.0985832884 13841.1790426736 80698.1550667864 86158.8209573264
67.666 2335.7955196523 457.3605589825 1579.4884534151 2279.1460723152 773.4350860045 13894.4794291065 81281.8013646695 86105.5205708934
68.676 2295.5423142820 390.7727794127 1387.7681579748 2064.0546067132 719.9656532234 13939.9986476013 81806.8008048594 86060.0013523986
69.686 2260.7463162890 334.2356775653 1218.2392170494 1870.0717581146 666.9073100415 13978.8880252287 82278.7146746163 86021.1119747713
70.696 2230.6352671287 286.1867261613 1068.5715634123 1694.9552381150 615.1523790077 14012.1267990397 82702.6536913480 85987.8732009602
71.706 2204.5537716521 245.3091683965 936.6256382619 1536.7332869848 565.3357026578 14040.5479983708 83083.2969148857 85959.4520016291
72.716 2181.9439391484 210.4942134226 820.4500492506 1393.6664889460 517.8895502393 14064.8604294533 83424.9143705946 85935.1395705466
73.726 2162.3295707650 180.8085480001 718.2751936430 1264.2158235283 473.0882379002 14085.6673461747 83731.3919334120 85914.3326538252
74.736 2145.3031826488 155.4666029673 628.5041673341 1147.0158205604 431.0842070710 14103.4823046913 84006.2573512131 85896.5176953086
75.746 2130.5153058517 133.8070050666 549.7019763103 1040.8519055621 391.9370468476 14118.7426257695 84252.7065566498 85881.2573742305
