Temps Sain Incubation Asymptotiques Benins Graves QuarantaineB QuarantaineG Hopital Morts RetablisTotal Total ConfinesGrave ConfinesAsymptotique ConfinesBenin ConfinesRetabli ConfinesTotal InfectesTotal InfectesConnu ConfinesSains
29.380 44267.8942054831 1687.3539299829 871.4221944508 126.8649440875 160.1715574376 250.1159229306 40.5095096933 999.3699265492 245.6156595373 1451.0999207924 99754.3843404626 0.2775001362 418.0357396507 90.3975301398 2448.8869356137 508.7107699267 2957.1648250756 1289.9953591730 47027.2329491084 
30.360 43751.0317522128 1779.8529108411 931.3680705796 134.0014585369 168.8502243090 267.9502832938 51.3018367677 997.7601654969 265.6445886660 1611.5464738729 99734.3554113339 0.0885156066 363.4571385987 78.5952599853 2667.3399079579 442.1409141906 2993.3729531746 1317.0122855584 47027.2329491084 
31.339 43207.4673564037 1875.9458974527 992.7341594712 141.4604451819 178.0210606153 286.6146729356 65.9195724641 998.1242970703 287.0424785233 1782.3730178303 99712.9575214766 0.0282342658 316.0043007536 68.3338901251 2880.0895057850 384.3664251446 3047.2406328831 1350.6585424700 47027.2329491084 
32.318 42637.3891771955 1974.6837938349 1055.6473286297 149.2268320918 187.5660683792 306.1186558428 83.8507298528 1000.5029919984 310.2198544848 1963.8752239257 99689.7801455152 0.0090060250 274.7468889449 59.4122411518 3088.8994267095 334.1681361217 3117.0807429164 1390.4723776940 47027.2329491084 
33.298 42041.1048482476 2075.2167627134 1120.1188380281 157.2676192947 197.3856341206 326.4674776231 110.3971636215 999.0940592736 335.4926318185 2156.3440209100 99664.5073681814 0.0028726969 238.8760304998 51.6553995714 3295.3517884525 290.5343027680 3201.2650947295 1435.9587005182 47027.2329491084 
34.277 41419.0826660767 2176.7364029850 1186.0686802426 165.5386473922 207.3910043509 347.6579169767 140.2106867965 998.6825435145 363.2225001834 2360.0506771762 99636.7774998166 0.0009163185 207.6884588810 44.9112885350 3500.8114056501 252.6006637345 3298.1501430080 1486.5511472877 47027.2329491084 
35.256 40771.9804717504 2278.4413014446 1253.3414556448 173.9883238758 217.4987535019 369.6758396173 173.1900435219 998.8464184596 393.6778239129 2575.2347205417 99606.3221760870 0.0002922827 180.5727257864 39.0476862943 3706.4972017100 219.6207043635 3406.1615389848 1541.7123015988 47027.2329491084 
36.236 40100.6664986374 2379.5171628772 1321.7170245655 182.5596296932 227.6271094846 392.4947397544 209.4990692818 998.9267987902 427.0550324752 2802.0936258919 99572.9449675247 0.0000932309 156.9972133917 33.9496339267 3913.4931507158 190.9469405493 3523.7713121190 1600.9206078265 47027.2329491084 
37.215 39406.2324021955 2479.1281833008 1390.9180856044 191.1912122082 237.6937560781 416.0748623271 248.9859389276 998.5403483939 463.6010647622 3040.7736817191 99536.3989352377 0.0000297383 136.4997117112 29.5171815065 4122.7070970284 166.0169229561 3649.4211264954 1663.6011496486 47027.2329491084 
38.194 38690.0004927521 2576.4154008208 1460.6161228927 199.8180509105 247.6147408471 440.3626894368 285.1851661324 1003.6837997460 503.4234690767 3291.3617515252 99496.5765309232 0.0000094858 118.6783567347 25.6634285356 4334.9630817937 144.3417947561 3781.6223647217 1729.2316553152 47027.2329491084 
39.174 37953.5245730012 2670.5011000028 1530.4366371073 208.3719723821 257.3041829203 465.2906838913 331.6986558576 1000.2676476996 546.6329908043 3553.8778209932 99453.3670091956 0.0000030257 103.1837516774 22.3128202148 4550.9505839285 125.4965749179 3918.8663547762 1797.2569874485 47027.2329491084 
40.153 37198.5848392768 2760.4975178230 1599.9643366417 216.7821879414 266.6746011448 490.7772495550 374.7365509202 1001.5712794330 593.3480873817 3828.2683440135 99406.6519126182 0.0000009651 89.7121168775 19.3996661532 4771.2293074462 109.1117839959 4059.6179896319 1867.0850799082 47027.2329491084 
41.132 36427.1769407712 2845.5188231457 1668.7487078850 224.9759420738 275.6377089612 516.7269052192 421.5367420399 999.8871246844 643.5849942116 4114.4004759793 99356.4150057883 0.0000003079 77.9993340406 16.8668524747 4996.2801659879 94.8661868231 4202.3793176867 1938.1507719435 47027.2329491084 
42.112 35641.4954392847 2924.6954774023 1736.3101955822 232.8793056030 284.1055455408 543.0306860805 472.2525097564 994.5573961978 697.3851000233 4412.0573226921 99302.6148999766 0.0000000982 67.8157680650 14.6647220707 5226.4582341517 82.4804902339 4345.6161289945 2009.8405920348 47027.2329491084 
43.091 34843.9120400476 2997.1900864432 1802.1471325369 240.4181246482 291.9918611324 569.5667930116 511.4413623893 1000.5849418834 754.6432183050 4720.9343518058 99245.3567816949 0.0000000313 58.9617649279 12.7501010479 5462.0699207449 71.7118660071 4487.8620816090 2081.5930972844 47027.2329491084 
44.070 34036.9488568501 3062.2142463900 1865.7434113835 247.5191044990 299.2136556369 596.2015076585 554.5649376210 1002.0137474340 815.3123048525 5040.6371115397 99184.6876951474 0.0000000100 51.2637373669 11.0854522811 5703.2937310147 62.3491896580 4627.6055538909 2152.7801927134 47027.2329491084 
45.050 33223.2463013915 3119.0464408196 1926.5769454675 254.1110258402 305.6928641748 622.7903878232 601.6708360358 998.2797440931 879.3663891555 5370.6803973653 99120.6336108444 0.0000000032 44.5707616120 9.6381394795 5950.1915899772 54.2089010947 4763.3307045293 2222.7409679521 47027.2329491084 
46.029 32405.5288437309 3167.0479204827 1984.1287190079 260.1260352679 311.3580370619 649.1797506277 636.0530554334 1005.6464131397 946.6356037671 5710.4889903947 99053.3643962328 0.0000000010 38.7516184482 8.3797873348 6202.7858701662 47.1314057840 4893.6234163228 2290.8792192009 47027.2329491084 
47.008 31586.5679289341 3205.6776844248 2037.8921625587 265.5009487616 316.1459221872 675.2084318180 674.7414150175 1006.6656007698 1016.8974018178 6059.4000273450 98983.1025981821 0.0000000003 33.6922205958 7.2857252094 6461.0272619635 40.9779458055 5017.1324269183 2356.6154476053 47027.2329491084 
47.988 30769.1432614230 3234.5055991495 2087.3826934290 270.1785380084 320.0029391630 700.7098003872 717.9505040010 1000.6787774187 1089.9724634583 6416.6670295167 98910.0275365416 0.0000000001 29.2933759707 6.3345034552 6724.7592188600 35.6278794260 5132.5311318333 2419.3390818069 47027.2329491084 
48.967 29956.0036450990 3253.2230500916 2132.1471383263 274.1087450974 322.8864643944 725.5139963878 757.0406188595 995.9279032361 1165.6174593385 6781.4655719821 98834.3825406613 0.0000000000 25.4688429729 5.5074728830 6993.7651134137 30.9763158560 5238.6011821574 2478.4825184835 47027.2329491084 
49.946 29149.8292455011 3261.6499931158 2171.7727278541 277.2497701908 324.7658506160 749.4503479127 783.0669188091 1000.9926958243 1243.5563449577 7152.9005208622 98756.4436550422 0.0000000000 22.1436396756 4.7884191353 7267.7632605870 26.9320588109 5334.2303700180 2533.5099625461 47027.2329491084 
50.926 28353.1955323236 3259.7389811603 2205.8953571927 279.5689839295 325.6231377002 772.3499105986 804.9070315608 1006.6526348615 1323.5126253381 7530.0147053099 98676.4873746618 0.0000000000 19.2525737665 4.1632447952 7546.3985769037 23.4158185617 5418.4128744050 2583.9095770209 47027.2329491084 
51.905 27568.5404035308 3247.5754444519 2234.2068741391 281.0436345580 325.4534446857 794.0480669907 840.7132689544 994.4756288640 1405.1525419164 7911.7988487571 98594.8474580834 0.0000000000 16.7389644189 3.6196930000 7829.2725908411 20.3586574189 5490.2995756107 2629.2369648091 47027.2329491084 
52.884 26798.1355215305 3225.3741989486 2256.4610918118 281.6613058104 324.2649856010 814.3871164420 854.6510216085 1000.0219992897 1488.1920656212 8297.2025353375 98511.8079343787 0.0000000000 14.5535310351 3.1471071385 8115.9083959091 17.7006381735 5549.1481587369 2669.0601373402 47027.2329491084 
53.864 26044.0620190228 3193.4727946910 2272.4783739014 281.4201187918 322.0787516004 833.2187834580 873.8876206739 995.9503379151 1572.2479427913 8685.1459503391 98427.7520572086 0.0000000000 12.6534270753 2.7362219229 8405.8191390803 15.3896489982 5594.4236353388 2703.0567420470 47027.2329491084 
54.843 25308.1915685589 3152.3215594749 2282.1486254980 280.3286640375 318.9278494969 850.4065749181 880.8258541878 999.7016689051 1656.9851196133 9074.5321137852 98343.0148803866 0.0000000000 11.0014000288 2.3789817385 8698.4567926372 13.3803817674 5625.7196188108 2730.9340980110 47027.2329491084 
55.822 24592.1727311740 3102.4711227029 2285.4326151198 278.4056699325 314.8565369714 865.8279195230 884.7421951134 1001.9163928828 1742.0299673722 9464.2593079342 98257.9700326277 0.0000000000 9.5650610601 2.0683827086 8993.2569448722 11.6334437687 5642.8147733115 2752.4865075191 47027.2329491084 
56.802 23897.4226853098 3044.5578684759 2282.3616306082 275.6794269718 309.9190061558 879.3760310879 885.9376711033 1002.2503349916 1827.0318435573 9853.2334018500 98172.9681564426 0.0000000000 8.3162500085 1.7983353802 9289.6225528737 10.1145853887 5645.6386863073 2767.5640371828 47027.2329491084 
57.781 23225.1241315912 2979.2879669462 2273.0355179095 272.1869924998 304.1779616800 890.9614474511 884.6957901199 1000.4219899822 1911.6578724983 10240.3797879648 98088.3421275016 0.0000000000 7.2304832943 1.5635453372 9586.9350356800 8.7940286315 5634.2737282741 2776.0792275533 47027.2329491084 
58.761 22576.2271368335 2907.4205048482 2257.6192161153 267.9732100922 297.7030528593 900.5132081631 873.2117619829 1004.3210272325 1995.5283385183 10624.6546656906 98004.4716614816 0.0000000000 6.2864739054 1.3594094008 9884.5908236472 7.6458833061 5608.9873597515 2778.0459973785 47027.2329491084 
59.740 21951.4552028030 2829.7505239979 2236.3379695760 263.0895872980 290.5692302252 907.9796477202 860.4609480341 1005.1162690069 2078.2558541366 11005.0554400383 97921.7441458633 0.0000000000 5.4657140546 1.1819253813 10181.9939264524 6.6476394359 5570.2012912962 2773.5568647612 47027.2329491084 
60.719 21351.3152080488 2747.0923664556 2209.4713916267 257.5930675381 282.8550633654 913.3287942013 854.4763265623 994.8806848139 2159.6060014210 11380.6300394991 97840.3939985789 0.0000000000 4.7521123250 1.0276136138 10478.4994089148 5.7797259388 5518.3850540465 2762.6858055775 47027.2329491084 
61.699 20776.1094550391 2660.2647118342 2177.3467214580 251.5447665602 274.6411501791 916.5483781718 824.6081906545 1004.4622387915 2239.2857700852 11750.4850066239 97760.7142299147 0.0000000000 4.1316781895 0.8934487371 10773.4993895697 5.0251269266 5454.1765727417 2745.6188076178 47027.2329491084 
62.678 20225.9519461373 2570.0751763430 2140.3313923248 245.0086824407 266.0085496208 917.6454702571 810.0610711091 994.9368458522 2316.9326225658 12113.7922641826 97683.0673774341 0.0000000000 3.5922477193 0.7768003801 11066.4475219880 4.3690480995 5378.3610597042 2722.6433872184 47027.2329491084 
63.657 19700.7847688062 2477.3081646678 2098.8252085403 238.0504331473 257.0373523456 916.6457699875 774.1675362226 1003.2090384863 2392.3309031573 12469.7944810277 97607.6690968426 0.0000000000 3.1232451041 0.6753815922 11356.7700143188 3.7986266963 5291.7339654258 2694.0223446964 47027.2329491084 
64.637 19200.3959553239 2382.7140455121 2053.2524362830 230.7360699125 247.8054371584 913.5925853351 746.8530505508 999.6645548963 2465.2045617386 12817.8090333786 97534.7954382613 0.0000000000 2.7154753075 0.5872040060 11643.9559689132 3.3026793135 5195.2068134495 2660.1101907822 47027.2329491084 
65.616 18724.4379133171 2287.0002019712 2004.0539779114 223.1309810141 238.3873892938 908.5455471855 714.4137186563 998.3009760784 2535.3628480984 13157.2305891461 97464.6371519016 0.0000000000 2.3609437940 0.5105388548 11927.5025687344 2.8714826488 5089.7040727884 2621.2602419203 47027.2329491084 
66.595 18272.4457457741 2190.8241125905 1951.6798509973 215.2989139143 228.8536146161 901.5791066876 677.8523740163 998.4432296244 2602.6030742415 13487.5323747457 97397.3969257585 0.0000000000 2.0526997918 0.4438830791 12206.9588861658 2.4965828710 4976.2036727270 2577.8747103283 47027.2329491084 
67.575 17843.8550862705 2094.7883868061 1896.5821269846 207.3011278966 219.2696422151 892.7808662561 638.1166556148 999.4720749392 2666.7588683403 13808.2662144769 97333.2411316597 0.0000000000 1.7847000196 0.3859298584 12481.9082998429 2.1706298780 4855.6931237844 2530.3695968101 47027.2329491084 
68.554 17438.0191271236 1999.4375928250 1839.2084762333 199.1956891777 209.6956200190 882.2497954422 596.1169247974 1000.8111313699 2727.6834298948 14119.0614557449 97272.3165701052 0.0000000000 1.5516902046 0.3355429901 12751.9767681697 1.8872331946 4729.1648702340 2479.1778516094 47027.2329491084 
69.533 17054.2248016252 1905.2565285835 1779.9964017549 191.0369071716 200.1859800788 870.0943812156 552.6875398320 1001.9617100889 2785.2420625207 14419.6229092071 97214.7579374794 0.0000000000 1.3491020701 0.2917346138 13016.8400715509 1.6408366839 4597.6037568257 2424.7436311364 47027.2329491084 
70.513 16691.7072616412 1812.6703853491 1719.3682425035 182.8749137678 190.7892749195 856.4307585546 513.8671810320 997.2010482752 2839.3492363914 14709.7279410925 97160.6507636086 0.0000000000 1.1729637722 0.2536458439 13276.2036351261 1.4266096160 4461.9580286687 2367.4989878618 47027.2329491084 
71.492 16349.6634221055 1722.0457063674 1657.7269755010 174.7553771356 181.5481545913 841.3808645162 469.5471401279 996.9186505433 2889.9837337863 14989.2228652228 97110.0162662137 0.0000000000 1.0198220293 0.2205299305 13529.7979177701 1.2403519598 4323.1175143751 2307.8466551874 47027.2329491084 
72.471 16027.2638924093 1633.6925563475 1595.4528172563 166.7193390980 172.4994673392 825.0706520691 421.1331190592 1000.0308817248 2937.0550196208 15258.0187756280 97062.9449803792 0.0000000000 0.8866744191 0.1917376194 13777.4306608987 1.0784120385 4181.9846885851 2246.2346528531 47027.2329491084 
73.451 15723.6638579321 1547.8671696534 1532.9005801118 158.8031573443 163.6744448502 807.6283944190 374.3946271544 1001.0340454454 2980.5542514941 15516.0869566944 97019.4457485059 0.0000000000 0.7709105148 0.1667044223 14018.9283712476 0.9376149371 4039.3728642622 2183.0570670188 47027.2329491084 
74.430 15438.0119720155 1464.7757735715 1470.3977816110 151.0385480690 155.0989861349 789.1831039444 329.8056205425 999.7137191614 3020.4778165823 15763.4539973017 96979.5221834177 0.0000000000 0.6702607056 0.1449395508 14254.1578277845 0.8152002564 3896.0529597196 2118.7024436483 47027.2329491084 
75.409 15169.4585162173 1384.5782323146 1408.2434362974 143.4527090769 146.7939948419 769.8630862113 283.7014726648 999.9693320619 3056.8463609530 16000.1967330268 96943.1536390470 0.0000000000 0.5827517005 0.1260162934 14483.0206664531 0.7087679939 3752.7327991481 2053.5338909379 47027.2329491084 
76.389 14917.1620149815 1307.3922794401 1346.7074512512 136.0685057993 138.7757533803 749.7946410580 244.3690641271 993.6398621269 3089.8498183289 16226.4371180218 96910.1501816712 0.0000000000 0.5066678408 0.1095636499 14705.3879200552 0.6162314907 3609.9715092335 1987.8035673120 47027.2329491084 
77.368 14680.2943493591 1233.2981389932 1286.0306048408 128.9047179286 131.0563491848 729.1009197500 207.4997719079 985.1513225192 3119.6969772174 16442.3371232352 96880.3030227826 0.0000000000 0.4405174634 0.0952590578 14921.1455850874 0.5357765212 3468.2794626524 1921.7520141770 47027.2329491084 
78.347 14458.0454901466 1162.3424997580 1226.4249834124 121.9763199303 123.6440932674 707.9009426827 176.1931506986 971.4327256962 3146.7458424217 16648.0937446806 96853.2541575784 0.0000000000 0.3830036563 0.0828220683 15130.1405198306 0.4658257246 3328.0380414122 1855.5268190774 47027.2329491084 
79.327 14249.6270738248 1094.5426310739 1168.0748044675 115.2947851931 116.5439372276 686.3087752272 149.6099300142 953.3719337971 3171.3235198890 16843.9341820298 96828.6764801110 0.0000000000 0.3329988319 0.0720088478 15332.2479183185 0.4050076797 3189.6091736064 1789.2906390385 47027.2329491084 
80.306 14054.2754755585 1029.8900610596 1111.1375351406 108.8683989934 109.7578675836 664.4328566054 127.0374646807 931.7524165661 3193.7117714399 17030.1112374259 96806.2882285602 0.0000000000 0.2895226200 0.0626073976 15527.3800620474 0.3521300176 3053.3386695873 1723.2227378521 47027.2329491084 
81.285 13871.2541007479 968.3541472359 1055.7452400842 102.7025727462 103.2852800769 642.3754730658 107.8706301845 907.2635636528 3214.1538758528 17206.8989688801 96785.8461241473 0.0000000000 0.2517226472 0.0544333975 15715.4850672450 0.3061560447 2919.5489158552 1657.5096669031 47027.2329491084 
82.265 13699.8550081068 909.8854626892 1002.0061088028 96.8001554368 97.1233368490 620.2323655743 91.5956004448 880.5100541432 3232.8604191600 17374.5886250389 96767.1395808401 0.0000000000 0.2188578258 0.0473265920 15896.5450617782 0.2661844178 2788.5338056687 1592.3380201622 47027.2329491084 
83.244 13539.3999669569 854.4189469677 950.0061128879 91.1617377152 91.2673037012 598.0924613884 77.7760731210 852.0203819623 3250.0141818334 17533.4848804291 96749.9858181667 0.0000000000 0.1902838240 0.0411476486 16070.5739559511 0.2314314726 2660.5555022487 1527.8889164717 47027.2329491084 
84.223 13389.2410398838 801.8767921587 899.8107466351 85.7859444468 85.7108640182 576.0377181603 66.0415731841 822.2546211274 3265.7742645696 17683.9023826078 96734.2257354304 0.0000000000 0.1654404340 0.0357754259 16237.6149421883 0.2012158599 2535.8426834318 1464.3339124718 47027.2329491084 
85.203 13248.7607712824 752.1710504147 851.4668090943 80.6697121934 80.4464068254 554.1430687189 56.0775211916 791.6115021906 3280.2795723193 17826.1626155975 96719.7204276808 0.0000000000 0.1438405884 0.0311045987 16397.7378335340 0.1749451871 2414.5899654013 1401.8320921011 47027.2329491084 
86.182 13117.3720524752 705.2059608953 805.0041909839 75.8085489250 75.4652876130 532.4764544758 47.6168000151 760.4348609965 3293.6517575081 17960.5910778644 96706.3482424919 0.0000000000 0.1250608111 0.0270435931 16551.0363294431 0.1521044042 2296.9582474134 1340.5281154874 47027.2329491084 
87.161 12994.5177249894 660.8800025912 760.4376355675 71.1967740962 70.7580616100 511.0989354709 40.4325939431 729.0195128235 3305.9977075881 18087.5147679745 96694.0022924119 0.0000000000 0.1087329150 0.0235127910 16697.6252790404 0.1322457060 2183.0757592173 1280.5510422376 47027.2329491084 
88.141 12879.6699752427 619.0876854709 717.7684482060 66.8277380028 66.3146900202 490.0648653961 34.3323081864 697.6165986762 3317.4116486880 18207.2599669428 96682.5883513120 0.0000000000 0.0945367834 0.0204429691 16837.6379965049 0.1149797525 2073.0396282402 1222.0137722587 47027.2329491084 
89.120 12772.3295663328 579.7210963760 676.9861346111 62.6940200060 62.1247203430 469.4221204647 29.1524057810 666.4384455432 3327.9769258464 18320.1503031043 96672.0230741536 0.0000000000 0.0821940938 0.0177739422 16971.2236701598 0.0999680359 1966.9178147849 1165.0129717889 47027.2329491084 
90.099 12672.0249458348 542.6712185349 638.0699527091 58.7876057764 58.1774423219 449.2123716877 24.7540234756 635.6629785038 3337.7675107813 18426.5050830060 96662.2324892187 0.0000000000 0.0714628614 0.0154533825 17098.5448959118 0.0869162439 1864.7512907184 1109.6293736672 47027.2329491084 
