0,000 2,9845130209 
0,020 2,9842060010 
0,040 2,9832837517 
0,060 2,9817426981 
0,080 2,9795768676 
0,100 2,9767778690 
0,120 2,9733348624 
0,140 2,9692345204 
0,160 2,9644609817 
0,180 2,9589957952 
0,200 2,9528178554 
0,220 2,9459033306 
0,240 2,9382255807 
0,260 2,9297550683 
0,280 2,9204592603 
0,300 2,9103025226 
0,320 2,8992460060 
0,340 2,8872475257 
0,360 2,8742614337 
0,380 2,8602384856 
0,400 2,8451257022 
0,420 2,8288662279 
0,440 2,8113991867 
0,460 2,7926595385 
0,480 2,7725779379 
0,500 2,7510805989 
0,520 2,7280891686 
0,540 2,7035206159 
0,560 2,6772871385 
0,580 2,6492960979 
0,600 2,6194499878 
0,620 2,5876464467 
0,640 2,5537783252 
0,660 2,5177338226 
0,680 2,4793967047 
0,700 2,4386466241 
0,720 2,3953595589 
0,740 2,3494083945 
0,760 2,3006636709 
0,780 2,2489945229 
0,800 2,1942698397 
0,820 2,1363596735 
0,840 2,0751369238 
0,860 2,0104793233 
0,880 1,9422717468 
0,900 1,8704088562 
0,920 1,7947980855 
0,940 1,7153629525 
0,960 1,6320466669 
0,980 1,5448159787 
1,000 1,4536651823 
1,020 1,3586201605 
1,040 1,2597423182 
1,060 1,1571322218 
1,080 1,0509327336 
1,100 0,9413314086 
1,120 0,8285619181 
1,140 0,7129042734 
1,160 0,5946836606 
1,180 0,4742677524 
1,200 0,3520624453 
1,220 0,2285060648 
1,240 0,1040621901 
1,260 -0,0207886475 
1,280 -0,1455580461 
1,300 -0,2697591835 
1,320 -0,3929161938 
1,340 -0,5145730318 
1,360 -0,6343014343 
1,380 -0,7517076590 
1,400 -0,8664377808 
1,420 -0,9781814304 
1,440 -1,0866739652 
1,460 -1,1916971538 
1,480 -1,2930785299 
1,500 -1,3906896185 
1,520 -1,4844432676 
1,540 -1,5742903199 
1,560 -1,6602158541 
1,580 -1,7422351948 
1,600 -1,8203898678 
1,620 -1,8947436355 
1,640 -1,9653787215 
